video,frame,type,qp,level,delta,mode,checkpoint,diagnostic_intervention,formal_enhancement_bits,rate_field_scope,psnr,ms_ssim,lpips,I_unchanged,psnr_minus_zero,ms_ssim_minus_zero,lpips_minus_zero,psnr_minus_real,ms_ssim_minus_real,lpips_minus_real,psnr_minus_wrong_source,ms_ssim_minus_wrong_source,lpips_minus_wrong_source,delta_ell_mean,delta_ell_std,delta_ell_l2,delta_ell_rms,delta_ell_max_abs,symbol_nonzero_fraction,u_hat_mean,u_hat_std,u_hat_l2,u_hat_rms,u_hat_max_abs,donor_video,source_available_to_synthesis,zero_uses_same_D_G
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,140784,whole sequence for REAL only,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,REAL,run_v1/stage_d/checkpoint.pt,False,35904,whole sequence for REAL only,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,-1,,ORIGINAL_FP16,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.292515414567433,0.7246954213762052,0.29369714856147766,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,-1,,REFERENCE_FP32,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.29434154687032,0.7246762124613562,0.2936422526836395,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,-1,,BASE_ONLY,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,24.338737394261063,0.752058133234518,0.4825802445411682,,,,,,,,,,,-0.03844549678982143,0.11708062971696975,47.22826918177647,0.12323120578140243,0.5621176958084106,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,REAL,run_v1/stage_d/checkpoint.pt,False,262352,whole sequence for REAL only,24.29673234192012,0.7517583538234257,0.47205832600593567,,-0.007050307100890052,-1.762354077938788e-05,-0.0008324682712554932,0.0,0.0,0.0,-0.008939768362445477,-0.0004102473919056493,0.0025892555713653564,-0.03678508494374668,0.11054077251404282,44.64879422982848,0.11650066464325438,0.5313540101051331,0.13725490868091583,-0.029564950980392156,0.08075259175709343,5.4928931356799575,0.08599457774744164,0.25,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30378264902101,0.7517759773642051,0.47289079427719116,,0.0,0.0,0.0,0.007050307100890052,1.762354077938788e-05,0.0008324682712554932,-0.0018894612615554252,-0.0003926238511262614,0.0034217238426208496,-0.03781241379359161,0.11192720341494343,45.277746138411985,0.11814176865608504,0.5292107462882996,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.305672110282565,0.7521686012153314,0.4694690704345703,,0.0018894612615554252,0.0003926238511262614,-0.0034217238426208496,0.008939768362445477,0.0004102473919056493,-0.0025892555713653564,0.0,0.0,0.0,-0.035895834269208365,0.10924747230887243,44.07120128448867,0.11499356992354103,0.5326635837554932,0.34191176295280457,-0.03915441176470588,0.09409017722974364,6.509608283145768,0.1019118708088744,0.25,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30328520129677,0.7519153161383546,0.4704235792160034,,-0.0004974477242392084,0.00013933877414951112,-0.002467215061187744,0.006552859376650844,0.000156962314928899,-0.001634746789932251,-0.0023869089857946335,-0.0002532850769767503,0.0009545087814331055,-0.036450019693366836,0.11001193804956966,44.415978300148716,0.11589318551610006,0.52996426820755,,-0.031732139194811645,0.0703698187707504,4.930726864364441,0.07719352337927811,0.26983320713043213,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,140784,whole sequence for REAL only,24.30364172398731,0.7517732138070196,0.4728866219520569,,-0.00014092503369766973,-2.763557185536669e-06,-4.172325134277344e-06,0.0,0.0,0.0,0.0032121088371823703,4.128212229836947e-06,0.0003947615623474121,-0.03780706414509635,0.1119253561680232,45.276419253286775,0.11813830645734802,0.5292107462882996,0.00024509805371053517,-0.00012254901960784314,0.007826844290115572,0.5,0.00782780363856437,0.5,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,1,0.5,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30378264902101,0.7517759773642051,0.47289079427719116,,0.0,0.0,0.0,0.00014092503369766973,2.763557185536669e-06,4.172325134277344e-06,0.00335303387088004,6.8917694153736164e-06,0.00039893388748168945,-0.03781241379359161,0.11192720341494343,45.277746138411985,0.11814176865608504,0.5292107462882996,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,1,0.5,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30042961515013,0.7517690855947897,0.4724918603897095,,-0.00335303387088004,-6.8917694153736164e-06,-0.00039893388748168945,-0.0032121088371823703,-4.128212229836947e-06,-0.0003947615623474121,0.0,0.0,0.0,-0.0371055447596433,0.11113844516725678,44.9049347123892,0.11716900377704519,0.5271301865577698,0.040441177785396576,-0.02022058823529412,0.09849579650455009,6.422616289332565,0.10054995831748047,0.5,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,1,0.5,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30328520129677,0.7519153161383546,0.4704235792160034,,-0.0004974477242392084,0.00013933877414951112,-0.002467215061187744,-0.0003565226905415386,0.0001421023313350478,-0.002463042736053467,0.0028555861466408317,0.00014623054356488474,-0.0020682811737060547,-0.036450019693366836,0.11001193804956966,44.415978300148716,0.11589318551610006,0.52996426820755,,-0.031732139194811645,0.0703698187707504,4.930726864364441,0.07719352337927811,0.26983320713043213,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,2,2.0,REAL,run_v1/stage_d/checkpoint.pt,False,35904,whole sequence for REAL only,24.30378264902101,0.7517759773642051,0.47289079427719116,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03781241379359161,0.11192720341494343,45.277746138411985,0.11814176865608504,0.5292107462882996,0.0,0.0,0.0,0.0,0.0,0.0,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,2,2.0,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30378264902101,0.7517759773642051,0.47289079427719116,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03781241379359161,0.11192720341494343,45.277746138411985,0.11814176865608504,0.5292107462882996,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,2,2.0,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30378264902101,0.7517759773642051,0.47289079427719116,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03781241379359161,0.11192720341494343,45.277746138411985,0.11814176865608504,0.5292107462882996,0.0,0.0,0.0,0.0,0.0,0.0,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,2,2.0,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30328520129677,0.7519153161383546,0.4704235792160034,,-0.0004974477242392084,0.00013933877414951112,-0.002467215061187744,-0.0004974477242392084,0.00013933877414951112,-0.002467215061187744,-0.0004974477242392084,0.00013933877414951112,-0.002467215061187744,-0.036450019693366836,0.11001193804956966,44.415978300148716,0.11589318551610006,0.52996426820755,,-0.031732139194811645,0.0703698187707504,4.930726864364441,0.07719352337927811,0.26983320713043213,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,-1,,ORIGINAL_FP16,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,21.958560214325683,0.7237378924989964,0.28464773297309875,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,-1,,REFERENCE_FP32,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,21.95820943745778,0.7236779875585414,0.2846151888370514,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,-1,,BASE_ONLY,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,24.65123947013357,0.7612553618895838,0.47014737129211426,,,,,,,,,,,-0.03964341954419077,0.1170854881475994,47.375271260165356,0.12361477358276544,0.5469605922698975,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,0,0.125,REAL,run_v1/stage_d/checkpoint.pt,False,262352,whole sequence for REAL only,24.617745454766883,0.7607878003085998,0.4609616994857788,,-0.007337086868584919,-6.58334701841845e-05,-0.0008842647075653076,0.0,0.0,0.0,-0.004404331478188084,-0.00031066986944705555,0.0024445950984954834,-0.03800418191109987,0.11090523917237297,44.93062767473775,0.11723604359843103,0.5207177400588989,0.13259804248809814,-0.029473039215686274,0.07976046712659954,5.431390245600108,0.08503171265394309,0.25,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.625082541635468,0.760853633778784,0.4618459641933441,,0.0,0.0,0.0,0.007337086868584919,6.58334701841845e-05,0.0008842647075653076,0.002932755390396835,-0.00024483639926287104,0.003328859806060791,-0.0389923378578243,0.11222316343849999,45.53162711999549,0.11880421214655225,0.5188431143760681,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.62214978624507,0.7610984701780469,0.4585171043872833,,-0.002932755390396835,0.00024483639926287104,-0.003328859806060791,0.004404331478188084,0.00031066986944705555,-0.0024445950984954834,0.0,0.0,0.0,-0.03710997313890468,0.10967686536798714,44.37451409310663,0.1157849942925153,0.5218341946601868,0.33627450466156006,-0.0392156862745098,0.0943897974973347,6.528782428600298,0.10221205369998504,0.25,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.62183843817138,0.760903678140382,0.4593244791030884,,-0.0032441034640875444,5.004436159794512e-05,-0.0025214850902557373,0.0040929834044973745,0.00011587783178212963,-0.0016372203826904297,-0.00031134807369070927,-0.00019479203766492592,0.0008073747158050537,-0.03765798729917177,0.11037083268077173,44.69390553087547,0.1166183721120797,0.5189329981803894,,-0.0317042828317105,0.0693527802287511,4.870839380984413,0.0762559484586648,0.27058422565460205,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,140784,whole sequence for REAL only,24.624894982428728,0.7608501961405633,0.46184179186820984,,-0.0001875592067399623,-3.4376382207490508e-06,-4.172325134277344e-06,0.0,0.0,0.0,0.003617029125653204,2.8222856042869893e-05,0.0004055500030517578,-0.038986939939434175,0.11222152640439183,45.53035553821051,0.11880089424904451,0.5188431143760681,0.00024509805371053517,-0.00012254901960784314,0.007826844290115572,0.5,0.00782780363856437,0.5,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,1,0.5,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.625082541635468,0.760853633778784,0.4618459641933441,,0.0,0.0,0.0,0.0001875592067399623,3.4376382207490508e-06,4.172325134277344e-06,0.003804588332393166,3.1660494263618943e-05,0.00040972232818603516,-0.0389923378578243,0.11222316343849999,45.53162711999549,0.11880421214655225,0.5188431143760681,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,1,0.5,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.621277953303075,0.7608219732845204,0.4614362418651581,,-0.003804588332393166,-3.1660494263618943e-05,-0.00040972232818603516,-0.003617029125653204,-2.8222856042869893e-05,-0.0004055500030517578,0.0,0.0,0.0,-0.03834805169188234,0.11156080256372754,45.21104662672382,0.11796773176265736,0.5188431143760681,0.03700980544090271,-0.018504901960784314,0.09439290007100067,6.144102863722254,0.09618966150471762,0.5,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,1,0.5,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.62183843817138,0.760903678140382,0.4593244791030884,,-0.0032441034640875444,5.004436159794512e-05,-0.0025214850902557373,-0.003056544257347582,5.348199981869417e-05,-0.00251731276512146,0.0005604848683056218,8.170485586156406e-05,-0.002111762762069702,-0.03765798729917177,0.11037083268077173,44.69390553087547,0.1166183721120797,0.5189329981803894,,-0.0317042828317105,0.0693527802287511,4.870839380984413,0.0762559484586648,0.27058422565460205,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,2,2.0,REAL,run_v1/stage_d/checkpoint.pt,False,35904,whole sequence for REAL only,24.625082541635468,0.760853633778784,0.4618459641933441,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0389923378578243,0.11222316343849999,45.53162711999549,0.11880421214655225,0.5188431143760681,0.0,0.0,0.0,0.0,0.0,0.0,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,2,2.0,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.625082541635468,0.760853633778784,0.4618459641933441,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0389923378578243,0.11222316343849999,45.53162711999549,0.11880421214655225,0.5188431143760681,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,2,2.0,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.625082541635468,0.760853633778784,0.4618459641933441,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0389923378578243,0.11222316343849999,45.53162711999549,0.11880421214655225,0.5188431143760681,0.0,0.0,0.0,0.0,0.0,0.0,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,2,P,0,2,2.0,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.62183843817138,0.760903678140382,0.4593244791030884,,-0.0032441034640875444,5.004436159794512e-05,-0.0025214850902557373,-0.0032441034640875444,5.004436159794512e-05,-0.0025214850902557373,-0.0032441034640875444,5.004436159794512e-05,-0.0025214850902557373,-0.03765798729917177,0.11037083268077173,44.69390553087547,0.1166183721120797,0.5189329981803894,,-0.0317042828317105,0.0693527802287511,4.870839380984413,0.0762559484586648,0.27058422565460205,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,-1,,ORIGINAL_FP16,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.037236055584103,0.7300184720439086,0.2908754348754883,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,-1,,REFERENCE_FP32,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.035203569872436,0.7300014287716938,0.2908547520637512,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,-1,,BASE_ONLY,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,24.798912236125354,0.7675540417898411,0.4567078948020935,,,,,,,,,,,-0.039955005311049105,0.11864562705113978,47.97997234148007,0.1251926006909518,0.567634105682373,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,0,0.125,REAL,run_v1/stage_d/checkpoint.pt,False,262352,whole sequence for REAL only,24.76460322276859,0.7671045218802995,0.447253555059433,,-0.007104713826500131,-6.753765755107555e-05,-0.0008307397365570068,0.0,0.0,0.0,-0.0033437329804861804,-0.00027486159528522514,0.0024166107177734375,-0.038179211865662636,0.11255725761588878,45.55153882259682,0.11885616711257649,0.5439150333404541,0.13406862318515778,-0.02931985294117647,0.07974490209275008,5.427073336523103,0.08496412882078241,0.25,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.77170793659509,0.7671720595378506,0.44808429479599,,0.0,0.0,0.0,0.007104713826500131,6.753765755107555e-05,0.0008307397365570068,0.0037609808460139504,-0.0002073239377341496,0.0032473504543304443,-0.03916700231875211,0.11384727286299168,46.14177222264693,0.12039624416474798,0.5416510701179504,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.767946955749075,0.7673793834755848,0.44483694434165955,,-0.0037609808460139504,0.0002073239377341496,-0.0032473504543304443,0.0033437329804861804,0.00027486159528522514,-0.0024166107177734375,0.0,0.0,0.0,-0.0372694044669119,0.11132498976574931,44.99265074831335,0.11739787841210103,0.5452367663383484,0.34068626165390015,-0.03964460784313725,0.09493933135213936,6.5717197140474575,0.10288426297849176,0.25,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.768432361425226,0.7672075876193908,0.44567716121673584,,-0.0032755751698623214,3.55280815401704e-05,-0.0024071335792541504,0.0038291386566378094,0.00010306573909124594,-0.0015763938426971436,0.000485405676151629,-0.0001717958561939792,0.0008402168750762939,-0.037830211385638295,0.11201555138472627,45.31200765638143,0.11823116613442636,0.5421525239944458,,-0.031588937544566924,0.0696410167472924,4.884541670440343,0.0764704661211844,0.2671700417995453,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,140784,whole sequence for REAL only,24.771531086270674,0.767169093585316,0.44807881116867065,,-0.00017685032441505655,-2.965952534572658e-06,-5.4836273193359375e-06,0.0,0.0,0.0,0.0035477009182613983,2.9745470534248142e-05,0.0004311800003051758,-0.03916173945427854,0.11384556984418734,46.14049891397962,0.12039292176134166,0.5416510701179504,0.00024509805371053517,-0.00012254901960784314,0.007826844290115572,0.5,0.00782780363856437,0.5,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,1,0.5,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.77170793659509,0.7671720595378506,0.44808429479599,,0.0,0.0,0.0,0.00017685032441505655,2.965952534572658e-06,5.4836273193359375e-06,0.003724551242676455,3.27114230688208e-05,0.0004366636276245117,-0.03916700231875211,0.11384727286299168,46.14177222264693,0.12039624416474798,0.5416510701179504,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,3,P,1,1,0.5,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.767983385352412,0.7671393481147818,0.4476476311683655,,-0.003724551242676455,-3.27114230688208e-05,-0.0004366636276245117,-0.0035477009182613983,-2.9745470534248142e-05,-0.0004311800003051758,0.0,0.0,0.0,-0.03851189373678037,0.11318882515261788,45.82173503225015,0.11956118140359338,0.5416510701179504,0.037745099514722824,-0.018872549019607842,0.09528956607785777,6.2048368229954285,0.09714048851948358,0.5,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
