method,split,video,frame,group,type,lambda,diagnostic,zero_no_stream_fallback,symbol_nonzero_fraction,nonzero_enhancement_frame,u_l2,residual_l2,actual_packet_bits,selected_step,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_TEACHER,ms_ssim_minus_TEACHER,lpips_minus_TEACHER,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014192229878867148,18.479493629636618,0.7905097082966499,0.3711719214916229,0.01456340180035877,0.0,0.0,0.0,-0.6119285771229741,-0.033451827161327774,0.06412392854690552,-0.5856233185222628,-0.032222455729849386,0.06281206011772156,-1.6924399652561313,-0.08265261490239217,0.10755914449691772,2.2820865869442812,0.015240794036659788,0.1472100019454956
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.0,0.0,0.0,-0.6179713148808368,-0.034848638577891444,0.06409516930580139,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,-1.6235727000260987,-0.08300042787829764,0.10771596431732178,2.2143641380282446,0.015177654772588811,0.1582702100276947
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014265616134018307,18.45709466360519,0.7872462612111572,0.3715718686580658,0.014637188002676372,0.0,0.0,0.0,-0.6119658970672752,-0.0335645347734288,0.06277096271514893,-0.5835199611316959,-0.032231918688066075,0.061040669679641724,-1.6810620003948706,-0.08277946556920845,0.10458865761756897,2.291179147212837,0.016230866713838,0.1437201201915741
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.015027104231448502,18.231247012140393,0.7822240124577718,0.3817782402038574,0.01540888247165236,0.0,0.0,0.0,-0.5572705854433444,-0.03290036270689067,0.061977118253707886,-0.5298320333942783,-0.031562311387621333,0.061134904623031616,-1.6246285914329448,-0.08428948718604445,0.10392984747886658,2.2220713440314803,0.015659045090008816,0.15097177028656006
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014645607784354203,18.34292600635568,0.7806586152611237,0.3741006851196289,0.015019708469473831,0.0,0.0,0.0,-0.558537644680051,-0.03265977996382896,0.06122550368309021,-0.5341189380448093,-0.03145025596739037,0.06026256084442139,-1.6798121412893998,-0.08537137010597595,0.10172420740127563,2.2548974502585963,0.01574771226216043,0.14522458612918854
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.015128627809520975,18.202004613871544,0.7801243874582853,0.39121079444885254,0.015519838603969827,0.0,0.0,0.0,-0.5039838005026986,-0.03167653337900045,0.06219819188117981,-0.4808599228342949,-0.03050776289550816,0.06127363443374634,-1.6101415611628909,-0.0852923074882117,0.10585856437683105,2.210176761284421,0.01517635549843488,0.1609826236963272
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014726271471247459,18.319071977899117,0.7793700600251098,0.379841685295105,0.015106113156542563,0.0,0.0,0.0,-0.5564842318989847,-0.032437434995923664,0.06282922625541687,-0.5312996458527905,-0.031306609213047176,0.06197565793991089,-1.7057401370744039,-0.08715322747195986,0.10663402080535889,2.264171511992263,0.01614686776032359,0.1492108255624771
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.015324659720078933,18.14609160093902,0.7741065822600527,0.3867919147014618,0.015711451634780396,0.0,0.0,0.0,-0.5562406245195106,-0.03316180347559394,0.06279104948043823,-0.5302919799645451,-0.03188324282934252,0.06261008977890015,-1.646926786208283,-0.0878517727608289,0.10373649001121521,2.1891428983354064,0.01563480040575127,0.1533402055501938
B_Train2_lambda5_WRONG,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.01522176602678956,18.175349578679636,0.7709346461417427,0.38231155276298523,0.015604077579552544,0.0,0.0,0.0,-0.5991311173577394,-0.034332893120329055,0.06317293643951416,-0.5780394240085727,-0.03326684636621435,0.06229326128959656,-1.7018105065591769,-0.08928555043263064,0.10210633277893066,2.184940722076263,0.015541554430574811,0.14853033423423767
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,I,I,3.0183946964593495,True,False,,False,0.0,0.0,,,0.0023100739264783543,26.363741216888563,0.8150404934054553,0.22730228304862976,0.002537376209526984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0011981765550642131,29.214791825806202,0.8948575140545686,0.18397662043571472,0.0013821531754999279,0.0,0.0,0.0,-0.9864776219152809,-0.015681296389797206,0.04713061451911926,-0.9023165740777088,-0.014307790258944353,0.044121161103248596,-3.542890387585402,-0.04950719840648632,0.09213793277740479,1.3221154522963303,-0.00017116294302610413,0.03245417773723602
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,2.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.001137977009034439,29.438665120625117,0.8986678670935632,0.1743094027042389,0.001312286411738678,0.0,0.0,0.0,-0.7541966096539312,-0.013246693330828507,0.045153483748435974,-0.6819222613233151,-0.012128035399562531,0.043616652488708496,-3.6644702100257476,-0.0498600357689144,0.09047946333885193,1.5728109740282008,0.0018993099710866712,0.029504895210266113
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,3.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.001099376608926279,29.588535076125233,0.9014633007044565,0.16605448722839355,0.0012654310961546726,0.0,0.0,0.0,-0.602724774121242,-0.011235574601603404,0.039309680461883545,-0.5473182417329063,-0.010170368297043764,0.03699618577957153,-3.5173603466035885,-0.04710545605165262,0.08251473307609558,1.736954825892937,0.00479453638216254,0.02292056381702423
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,4.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0011113091463598812,29.541651112823363,0.9011842544782888,0.17556104063987732,0.0012868701869997586,0.0,0.0,0.0,-0.611587321806855,-0.011844805997381802,0.04403555393218994,-0.556298803249387,-0.010958517311301152,0.042512908577919006,-3.3909505086174043,-0.046782148593125794,0.08828996121883392,1.641320382531525,0.0031992619203171646,0.034521251916885376
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,5.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0010615184620582547,29.740724481298248,0.9048725419205983,0.17001351714134216,0.001231531979199597,0.0,0.0,0.0,-0.5731483058372966,-0.01100233703916853,0.04116566479206085,-0.49907661656067503,-0.00985430408384358,0.03998565673828125,-3.3551526184869793,-0.044838395785652185,0.08488044142723083,1.8421622479563133,0.0052304337745073815,0.029492169618606567
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,6.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.001069421890334127,29.70850930433903,0.9040085013693004,0.17246824502944946,0.0012418901353635765,0.0,0.0,0.0,-0.6101051566353455,-0.01145057001670624,0.04308761656284332,-0.5541260168538464,-0.010419791554855062,0.04165154695510864,-3.429138098006163,-0.04600780631718682,0.08816573023796082,1.8268382672089487,0.005231362307355991,0.031521692872047424
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,7.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0010274781091751117,29.882274221679307,0.9072283073650452,0.16594964265823364,0.0011934277518333453,0.0,0.0,0.0,-0.6383579296719084,-0.01094128565977548,0.039886683225631714,-0.5827558191157038,-0.01005262810399521,0.03840583562850952,-3.4078004993290953,-0.04391835146907064,0.08341749757528305,2.032086866793808,0.007822053616003188,0.023453161120414734
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,8.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0010898709980745817,29.62624904022592,0.9031067629130028,0.17986352741718292,0.0012697345254917647,0.0,0.0,0.0,-0.7117764649071923,-0.012341437464498006,0.04498998820781708,-0.6351696814237435,-0.011333583115728185,0.04362154006958008,-3.312519926397421,-0.04491103068418756,0.08957301080226898,1.9147510378655426,0.006972352448986641,0.03423686325550079
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,9.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0010336529313837845,29.85625259392232,0.9069215461005676,0.16979053616523743,0.0012034434675490219,0.0,0.0,0.0,-0.6447474989609887,-0.010699012091520244,0.039871424436569214,-0.5693940586361776,-0.009674294974814979,0.03840839862823486,-3.340205804680103,-0.043156076062702,0.08413118124008179,2.1408057285573676,0.009206586442444653,0.024066418409347534
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,10.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.001096658736635857,29.59928497177962,0.9024184808725065,0.18107970058918,0.001277738437225037,0.0,0.0,0.0,-0.637441258440056,-0.011505673831335383,0.044239938259124756,-0.5591702962448934,-0.010616178638220952,0.04243631660938263,-3.3286882577199712,-0.04546496208867812,0.08989618718624115,1.9664717302515804,0.006953312982809656,0.03348831832408905
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,11.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0011069748941855788,29.558622286608504,0.9015772774345429,0.17961841821670532,0.001286593312402284,0.0,0.0,0.0,-0.6097794361381403,-0.011041356472082597,0.043659329414367676,-0.535345494369583,-0.010161595463804685,0.04243406653404236,-3.392210141862641,-0.046315032244910626,0.0896906852722168,2.0251026847001974,0.0073906484503915015,0.030980318784713745
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,12.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0011115127748623948,29.540855414936793,0.9011635556575097,0.17763149738311768,0.0012891442722455125,0.0,0.0,0.0,-0.6536321618281491,-0.011465623805678171,0.04305736720561981,-0.5827400942610694,-0.010461089648913346,0.04164329171180725,-3.511519296575848,-0.047659040737213054,0.08892245590686798,2.030106321004048,0.007324750561590321,0.028850749135017395
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,13.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0010894171621400434,29.62805787348173,0.9027434647283251,0.17320823669433594,0.0012626253988343794,0.0,0.0,0.0,-0.6865718712420978,-0.011213120975767987,0.041033849120140076,-0.6031832132863961,-0.010210469737522931,0.03962068259716034,-3.4803916910735566,-0.04629049387795159,0.08521242439746857,2.174186804359845,0.009677257620166357,0.022461116313934326
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,14.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0011525642750855995,29.3833484594991,0.8984899828003817,0.18254341185092926,0.0013351076869365288,0.0,0.0,0.0,-0.7487657826536989,-0.012761985324505787,0.044358327984809875,-0.6734959074656395,-0.011764044770978144,0.04263809323310852,-3.395689897510767,-0.047632583036193665,0.08804178982973099,2.041786224282763,0.008862151284170006,0.02954329550266266
B_Train2_lambda5_WRONG,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,15.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.0011734090432676113,29.30550569071717,0.8976753691216395,0.18136849999427795,0.0013547775432618892,0.0,0.0,0.0,-0.8283428117357623,-0.01384425138451828,0.04506118595600128,-0.7588673684382954,-0.012759738983483149,0.04375253617763519,-3.533170373414748,-0.049191553771332774,0.08904053270816803,2.0247821236959425,0.008449507113350463,0.028263986110687256
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,I,I,3.0183946964593495,True,False,,False,0.0,0.0,,,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982,0.0,0.0,0.0,-0.5474024993127102,-0.03462836908027034,0.06683674454689026,-0.5235052816922767,-0.03354199798344426,0.0655442476272583,-1.643065916307247,-0.08581856058155479,0.10797011852264404,2.105785976596991,0.008109708347824096,0.1469828337430954
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103,0.0,0.0,0.0,-0.5011885859664318,-0.03170338472488099,0.06376275420188904,-0.4760824548274698,-0.03045276834622168,0.06314551830291748,-1.7053362038090363,-0.085374821848342,0.10896235704421997,2.224435312703079,0.010614260176679102,0.1462479531764984
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014337797154308224,18.43517568139394,0.792569618828697,0.37328192591667175,0.014711079080224895,0.0,0.0,0.0,-0.5032937998308675,-0.030926224717501838,0.06301560997962952,-0.4815389645525805,-0.02963578004553613,0.06261512637138367,-1.6413930899671918,-0.08183898974043091,0.10803940892219543,2.230144057551083,0.011714150161304837,0.1501513421535492
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014770672740468943,18.30599723996119,0.7901818846568697,0.38248443603515625,0.0151531571765041,0.0,0.0,0.0,-0.5159990511189356,-0.03150396376411091,0.06417283415794373,-0.4934894614844936,-0.03021309198740485,0.06356018781661987,-1.645169097284871,-0.08360159353088514,0.11127907037734985,2.1930421688570263,0.012154577809056932,0.1584969162940979
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014312605644440184,18.442812946826333,0.7920176088177971,0.3723566234111786,0.014684962267851364,0.0,0.0,0.0,-0.5465379356867892,-0.03164563196059156,0.06365889310836792,-0.5210720669378119,-0.030468023284980994,0.06303521990776062,-1.662343283447349,-0.08220921673332027,0.10895606875419617,2.245229163643817,0.013319973543214347,0.1499435305595398
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.01454084282161529,18.374104200128485,0.7908164707434683,0.3756115138530731,0.014916454335468362,0.0,0.0,0.0,-0.5800894033387891,-0.032667555919895785,0.06386959552764893,-0.5517833989161396,-0.03154981454494332,0.06313976645469666,-1.6745054482344912,-0.08317966779262953,0.10883191227912903,2.2252654991396312,0.014186372698549388,0.1518806666135788
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014192229878867148,18.479493629636618,0.7905097082966499,0.3711719214916229,0.01456340180035877,0.0,0.0,0.0,-0.6119285771229741,-0.033451827161327774,0.06412392854690552,-0.5856233185222628,-0.032222455729849386,0.06281206011772156,-1.6924399652561313,-0.08265261490239217,0.10755914449691772,2.2820865869442812,0.015240794036659788,0.1472100019454956
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.0,0.0,0.0,-0.6179713148808368,-0.034848638577891444,0.06409516930580139,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,-1.6235727000260987,-0.08300042787829764,0.10771596431732178,2.2143641380282446,0.015177654772588811,0.1582702100276947
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014265616134018307,18.45709466360519,0.7872462612111572,0.3715718686580658,0.014637188002676372,0.0,0.0,0.0,-0.6119658970672752,-0.0335645347734288,0.06277096271514893,-0.5835199611316959,-0.032231918688066075,0.061040669679641724,-1.6810620003948706,-0.08277946556920845,0.10458865761756897,2.291179147212837,0.016230866713838,0.1437201201915741
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.015027104231448502,18.231247012140393,0.7822240124577718,0.3817782402038574,0.01540888247165236,0.0,0.0,0.0,-0.5572705854433444,-0.03290036270689067,0.061977118253707886,-0.5298320333942783,-0.031562311387621333,0.061134904623031616,-1.6246285914329448,-0.08428948718604445,0.10392984747886658,2.2220713440314803,0.015659045090008816,0.15097177028656006
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014645607784354203,18.34292600635568,0.7806586152611237,0.3741006851196289,0.015019708469473831,0.0,0.0,0.0,-0.558537644680051,-0.03265977996382896,0.06122550368309021,-0.5341189380448093,-0.03145025596739037,0.06026256084442139,-1.6798121412893998,-0.08537137010597595,0.10172420740127563,2.2548974502585963,0.01574771226216043,0.14522458612918854
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.015128627809520975,18.202004613871544,0.7801243874582853,0.39121079444885254,0.015519838603969827,0.0,0.0,0.0,-0.5039838005026986,-0.03167653337900045,0.06219819188117981,-0.4808599228342949,-0.03050776289550816,0.06127363443374634,-1.6101415611628909,-0.0852923074882117,0.10585856437683105,2.210176761284421,0.01517635549843488,0.1609826236963272
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.014726271471247459,18.319071977899117,0.7793700600251098,0.379841685295105,0.015106113156542563,0.0,0.0,0.0,-0.5564842318989847,-0.032437434995923664,0.06282922625541687,-0.5312996458527905,-0.031306609213047176,0.06197565793991089,-1.7057401370744039,-0.08715322747195986,0.10663402080535889,2.264171511992263,0.01614686776032359,0.1492108255624771
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14.0,Train2_rest24,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.015324659720078933,18.14609160093902,0.7741065822600527,0.3867919147014618,0.015711451634780396,0.0,0.0,0.0,-0.5562406245195106,-0.03316180347559394,0.06279104948043823,-0.5302919799645451,-0.03188324282934252,0.06261008977890015,-1.646926786208283,-0.0878517727608289,0.10373649001121521,2.1891428983354064,0.01563480040575127,0.1533402055501938
B_Train2_lambda5_ZERO,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,network_train6,P,3.0183946964593495,True,False,0.0,False,0.0,0.0,,,0.01522176602678956,18.175349578679636,0.7709346461417427,0.38231155276298523,0.015604077579552544,0.0,0.0,0.0,-0.5991311173577394,-0.034332893120329055,0.06317293643951416,-0.5780394240085727,-0.03326684636621435,0.06229326128959656,-1.7018105065591769,-0.08928555043263064,0.10210633277893066,2.184940722076263,0.015541554430574811,0.14853033423423767
